Release ID;Release date;Tribe;Environment;Type;Status;Change requests;Defects found;Lead time (days);Verantwortlich
REL-1099;01.10.2025;Analytics;Production;Minor;Deployed;3;0;19;Anja Größ
REL-1015;04.10.2025;Analytics;QA;Minor;Deployed;4;2;12;Jürgen Müller
REL-1097;06.10.2025;Logistics;Production;Minor;Deployed;4;3;17;Anja Größ
REL-1027;08.10.2025;Procurement;QA;Hotfix;Deployed;11;2;12;Jürgen Müller
REL-1160;08.10.2025;Payments;Production;Minor;Rolled back;5;2;12;Anja Größ
REL-1169;11.10.2025;Procurement;Production;Minor;Deployed;9;3;18;Jürgen Müller
REL-1092;16.10.2025;Payments;Production;Major;Rolled back;25;6;23;Anja Größ
REL-1061;17.10.2025;Finance;Production;Minor;Deployed;10;0;16;Jürgen Müller
REL-1073;21.10.2025;Payments;Production;Minor;Deployed;10;1;8;Anja Größ
REL-1141;24.10.2025;Finance;Production;Hotfix;Deployed;8;3;4;Jürgen Müller
REL-1142;28.10.2025;Logistics;QA;Hotfix;Delayed;11;2;8;Anja Größ
REL-1109;05.11.2025;Logistics;Production;Minor;Deployed;10;1;16;Jürgen Müller
REL-1161;05.11.2025;Finance;Production;Minor;Deployed;6;0;20;Anja Größ
REL-1176;12.11.2025;Procurement;Pre-production;Minor;Deployed;5;1;14;Jürgen Müller
REL-1028;22.11.2025;Payments;Production;Major;Delayed;15;7;34;Anja Größ
REL-1022;26.11.2025;Analytics;QA;Minor;Deployed;7;1;14;Jürgen Müller
REL-1117;01.12.2025;Finance;QA;Major;Delayed;16;9;39;Anja Größ
REL-1170;03.12.2025;HR;QA;Minor;Deployed;10;2;8;Jürgen Müller
REL-1060;06.12.2025;Analytics;Production;Major;Deployed;21;11;23;Anja Größ
REL-1016;07.12.2025;Procurement;Production;Hotfix;Deployed;5;1;1;Jürgen Müller
REL-1154;07.12.2025;Procurement;Production;Hotfix;Deployed;7;1;10;Anja Größ
REL-1132;11.12.2025;HR;Production;Hotfix;Deployed;12;4;12;Jürgen Müller
REL-1148;12.12.2025;HR;Pre-production;Minor;Deployed;5;3;14;Anja Größ
REL-1036;14.12.2025;Logistics;Pre-production;Minor;Deployed;11;4;15;Jürgen Müller
REL-1056;14.12.2025;Finance;Production;Minor;Deployed;5;2;6;Anja Größ
REL-1051;15.12.2025;Payments;Pre-production;Minor;Deployed;8;2;8;Jürgen Müller
REL-1102;15.12.2025;Payments;QA;Hotfix;Deployed;5;4;15;Anja Größ
REL-1179;16.12.2025;Payments;Production;Major;Deployed;6;2;13;Jürgen Müller
REL-1017;20.12.2025;Analytics;Production;Minor;Deployed;4;2;9;Anja Größ
REL-1136;20.12.2025;Payments;Production;Minor;Deployed;4;4;20;Jürgen Müller
REL-1105;21.12.2025;Analytics;Production;Minor;Delayed;4;2;14;Anja Größ
REL-1101;22.12.2025;Payments;Production;Minor;Deployed;11;4;13;Jürgen Müller
REL-1178;22.12.2025;Analytics;QA;Hotfix;Deployed;4;1;6;Anja Größ
REL-1153;26.12.2025;Analytics;QA;Minor;Deployed;10;3;8;Jürgen Müller
REL-1150;27.12.2025;Logistics;QA;Major;Deployed;3;5;38;Anja Größ
REL-1005;29.12.2025;Logistics;Pre-production;Minor;Deployed;11;2;8;Jürgen Müller
REL-1149;01.01.2026;Finance;Production;Minor;Deployed;3;2;10;Anja Größ
REL-1094;05.01.2026;Finance;Production;Hotfix;Deployed;11;0;12;Jürgen Müller
REL-1003;06.01.2026;Procurement;Pre-production;Hotfix;Delayed;2;1;14;Anja Größ
REL-1130;08.01.2026;Finance;Production;Major;Deployed;11;7;34;Jürgen Müller
REL-1046;10.01.2026;HR;Production;Major;Deployed;20;1;36;Anja Größ
REL-1006;12.01.2026;HR;Pre-production;Major;Rolled back;23;11;9;Jürgen Müller
REL-1113;18.01.2026;Procurement;Pre-production;Minor;Deployed;7;1;14;Anja Größ
REL-1090;27.01.2026;HR;QA;Major;Deployed;28;3;29;Jürgen Müller
REL-1053;28.01.2026;Logistics;QA;Minor;Deployed;7;1;15;Anja Größ
REL-1127;29.01.2026;Payments;Pre-production;Major;Deployed;25;3;6;Jürgen Müller
REL-1143;30.01.2026;Logistics;Pre-production;Minor;Deployed;7;2;20;Anja Größ
REL-1010;31.01.2026;Procurement;Production;Minor;Deployed;6;3;15;Jürgen Müller
REL-1137;03.02.2026;Procurement;Production;Major;Deployed;12;2;28;Anja Größ
REL-1110;07.02.2026;Analytics;Pre-production;Minor;Rolled back;7;1;9;Jürgen Müller
REL-1111;12.02.2026;Payments;Pre-production;Major;Deployed;7;3;7;Anja Größ
REL-1135;14.02.2026;Finance;Production;Minor;Rolled back;9;1;15;Jürgen Müller
REL-1049;15.02.2026;HR;Production;Major;Deployed;4;9;22;Anja Größ
REL-1087;15.02.2026;HR;Production;Major;Deployed;3;10;9;Jürgen Müller
REL-1093;16.02.2026;Finance;Production;Minor;Deployed;9;1;14;Anja Größ
REL-1083;17.02.2026;Payments;Pre-production;Major;Rolled back;10;1;23;Jürgen Müller
REL-1163;17.02.2026;Procurement;Production;Major;Deployed;7;5;43;Anja Größ
REL-1039;19.02.2026;Analytics;Production;Minor;Deployed;5;2;18;Jürgen Müller
REL-1116;19.02.2026;Payments;Pre-production;Minor;Deployed;2;1;16;Anja Größ
REL-1125;19.02.2026;HR;Production;Minor;Delayed;8;1;12;Jürgen Müller
REL-1018;22.02.2026;Procurement;Production;Minor;Deployed;5;4;10;Anja Größ
REL-1164;25.02.2026;Analytics;Pre-production;Hotfix;Delayed;12;2;7;Jürgen Müller
REL-1139;28.02.2026;Payments;Pre-production;Major;Deployed;27;4;41;Anja Größ
REL-1165;28.02.2026;Procurement;Production;Hotfix;Deployed;11;4;10;Jürgen Müller
