Release ID,Release date,Tribe,Environment,Type,Status,Change requests,Defects found,Lead time (days)
REL-1099,2025-10-01,Analytics,Production,Minor,Deployed,3,0,19
REL-1015,2025-10-04,Analytics,QA,Minor,Deployed,4,2,12
REL-1097,2025-10-06,Logistics,Production,Minor,Deployed,4,3,17
REL-1027,2025-10-08,Procurement,QA,Hotfix,Deployed,11,2,12
REL-1160,2025-10-08,Payments,Production,Minor,Rolled back,5,2,12
REL-1169,2025-10-11,Procurement,Production,Minor,Deployed,9,3,18
REL-1092,2025-10-16,Payments,Production,Major,Rolled back,25,6,23
REL-1061,2025-10-17,Finance,Production,Minor,Deployed,10,0,16
REL-1073,2025-10-21,Payments,Production,Minor,Deployed,10,1,8
REL-1141,2025-10-24,Finance,Production,Hotfix,Deployed,8,3,4
REL-1142,2025-10-28,Logistics,QA,Hotfix,Delayed,11,2,8
REL-1109,2025-11-05,Logistics,Production,Minor,Deployed,10,1,16
REL-1161,2025-11-05,Finance,Production,Minor,Deployed,6,0,20
REL-1176,2025-11-12,Procurement,Pre-production,Minor,Deployed,5,1,14
REL-1028,2025-11-22,Payments,Production,Major,Delayed,15,7,34
REL-1022,2025-11-26,Analytics,QA,Minor,Deployed,7,1,14
REL-1117,2025-12-01,Finance,QA,Major,Delayed,16,9,39
REL-1170,2025-12-03,HR,QA,Minor,Deployed,10,2,8
REL-1060,2025-12-06,Analytics,Production,Major,Deployed,21,11,23
REL-1016,2025-12-07,Procurement,Production,Hotfix,Deployed,5,1,1
REL-1154,2025-12-07,Procurement,Production,Hotfix,Deployed,7,1,10
REL-1132,2025-12-11,HR,Production,Hotfix,Deployed,12,4,12
REL-1148,2025-12-12,HR,Pre-production,Minor,Deployed,5,3,14
REL-1036,2025-12-14,Logistics,Pre-production,Minor,Deployed,11,4,15
REL-1056,2025-12-14,Finance,Production,Minor,Deployed,5,2,6
REL-1051,2025-12-15,Payments,Pre-production,Minor,Deployed,8,2,8
REL-1102,2025-12-15,Payments,QA,Hotfix,Deployed,5,4,15
REL-1179,2025-12-16,Payments,Production,Major,Deployed,6,2,13
REL-1017,2025-12-20,Analytics,Production,Minor,Deployed,4,2,9
REL-1136,2025-12-20,Payments,Production,Minor,Deployed,4,4,20
REL-1105,2025-12-21,Analytics,Production,Minor,Delayed,4,2,14
REL-1101,2025-12-22,Payments,Production,Minor,Deployed,11,4,13
REL-1178,2025-12-22,Analytics,QA,Hotfix,Deployed,4,1,6
REL-1153,2025-12-26,Analytics,QA,Minor,Deployed,10,3,8
REL-1150,2025-12-27,Logistics,QA,Major,Deployed,3,5,38
REL-1005,2025-12-29,Logistics,Pre-production,Minor,Deployed,11,2,8
REL-1149,2026-01-01,Finance,Production,Minor,Deployed,3,2,10
REL-1094,2026-01-05,Finance,Production,Hotfix,Deployed,11,0,12
REL-1003,2026-01-06,Procurement,Pre-production,Hotfix,Delayed,2,1,14
REL-1130,2026-01-08,Finance,Production,Major,Deployed,11,7,34
